               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.019043,             0.01359,            0.029509,             0.43187,             0.52407,             0.56983,             0.36089,           0.0080922,           0.0033924,            0.015379,            0.003565,            0.003565,            0.003565
                  67,            0.016538,            0.012925,            0.028345,             0.22968,             0.70252,             0.47075,             0.37545,            0.008123,           0.0034253,            0.015317,            0.003466,            0.003466,            0.003466
                  68,            0.019119,            0.013902,            0.029543,             0.24002,             0.67222,             0.47646,             0.34156,           0.0083726,           0.0034733,            0.015238,            0.003367,            0.003367,            0.003367
                  69,             0.01801,            0.014197,            0.028482,               0.263,             0.83246,              0.4728,             0.36522,           0.0088477,           0.0034933,            0.015123,            0.003268,            0.003268,            0.003268
                  70,            0.016149,            0.014523,            0.028536,              0.2525,              0.7935,             0.51282,             0.37707,           0.0080079,           0.0033374,            0.015284,            0.003169,            0.003169,            0.003169
                  71,            0.015906,             0.01282,            0.027159,             0.24062,             0.78505,             0.51859,             0.40456,           0.0082619,           0.0033493,            0.015133,             0.00307,             0.00307,             0.00307
                  72,            0.017992,            0.013372,            0.029989,             0.22589,             0.78815,             0.53504,             0.30518,            0.009693,           0.0033225,            0.015302,            0.002971,            0.002971,            0.002971
                  73,            0.015852,            0.012907,            0.029182,             0.22446,             0.75857,             0.58004,             0.39128,           0.0082478,           0.0032237,            0.015223,            0.002872,            0.002872,            0.002872
                  74,            0.014433,            0.013898,            0.027489,              0.3694,             0.73333,             0.57043,             0.31734,           0.0092379,           0.0032786,            0.015295,            0.002773,            0.002773,            0.002773
                  75,            0.017653,            0.012096,            0.025604,              0.3787,             0.67178,              0.5726,             0.39075,           0.0084647,           0.0033093,            0.015247,            0.002674,            0.002674,            0.002674
                  76,            0.017478,            0.012848,            0.026296,              0.4153,             0.64327,             0.57459,             0.37404,           0.0080083,           0.0033659,            0.015219,            0.002575,            0.002575,            0.002575
                  77,            0.020258,            0.013009,            0.028518,             0.38883,             0.61592,             0.57862,             0.37245,           0.0091975,           0.0034177,            0.015323,            0.002476,            0.002476,            0.002476
                  78,            0.015773,            0.013789,            0.028553,             0.21342,             0.75556,             0.49989,              0.3651,           0.0077032,           0.0033194,            0.015532,            0.002377,            0.002377,            0.002377
                  79,             0.01475,            0.012809,             0.02706,             0.21157,             0.76417,              0.4521,             0.28003,            0.008918,           0.0033269,            0.015489,            0.002278,            0.002278,            0.002278
                  80,            0.014604,            0.014634,            0.026675,             0.24623,             0.83971,             0.55502,             0.36953,           0.0075251,           0.0031692,            0.015375,            0.002179,            0.002179,            0.002179
                  81,            0.013198,             0.01351,            0.026058,             0.25097,             0.86667,             0.55536,             0.34293,           0.0076592,           0.0031694,            0.015359,             0.00208,             0.00208,             0.00208
                  82,            0.015081,             0.01189,            0.025078,             0.25713,             0.86208,             0.55012,             0.37125,           0.0076106,           0.0031547,            0.015355,            0.001981,            0.001981,            0.001981
                  83,            0.013436,            0.014358,            0.027056,             0.26282,             0.85359,             0.54954,             0.33443,           0.0075973,           0.0032182,            0.015085,            0.001882,            0.001882,            0.001882
                  84,            0.015644,            0.012525,            0.027499,             0.26655,             0.85215,             0.54701,             0.35849,           0.0071382,           0.0032428,            0.015148,            0.001783,            0.001783,            0.001783
                  85,            0.013927,            0.011672,             0.02666,             0.26329,             0.83069,             0.52759,             0.35375,           0.0074162,           0.0033063,            0.015082,            0.001684,            0.001684,            0.001684
                  86,            0.015127,            0.012349,            0.027498,             0.27184,             0.81736,             0.53692,             0.38933,           0.0069244,           0.0033188,            0.015104,            0.001585,            0.001585,            0.001585
                  87,            0.014273,            0.013414,            0.026757,             0.27889,             0.81261,             0.57386,             0.37028,            0.007287,           0.0033358,            0.015057,            0.001486,            0.001486,            0.001486
                  88,            0.013635,            0.012736,            0.026895,             0.27974,             0.77201,             0.54041,             0.38815,           0.0067098,            0.003352,            0.015098,            0.001387,            0.001387,            0.001387
                  89,            0.012543,            0.012851,            0.027864,             0.27784,             0.78237,             0.51513,             0.37667,           0.0066959,           0.0034094,            0.015217,            0.001288,            0.001288,            0.001288
                  90,            0.012175,            0.012982,            0.027736,             0.27872,             0.77395,             0.51938,             0.37589,           0.0067467,            0.003419,            0.015243,            0.001189,            0.001189,            0.001189
                  91,            0.021698,             0.01344,            0.028137,             0.27354,             0.79044,             0.53192,             0.38958,           0.0066125,           0.0034316,            0.015175,             0.00109,             0.00109,             0.00109
                  92,            0.013701,            0.013124,            0.026281,             0.27359,             0.79259,             0.53952,             0.39537,           0.0067032,           0.0034418,            0.015219,            0.000991,            0.000991,            0.000991
                  93,            0.015216,            0.012546,            0.026791,             0.27209,             0.79115,             0.50142,             0.36939,           0.0067422,           0.0033788,            0.014962,            0.000892,            0.000892,            0.000892
                  94,            0.013108,            0.011101,            0.023639,             0.27127,             0.79259,             0.49869,             0.36551,           0.0068053,           0.0033894,            0.015258,            0.000793,            0.000793,            0.000793
                  95,            0.015555,            0.013268,            0.027874,             0.39867,             0.76696,             0.55626,             0.37532,           0.0067676,           0.0033855,            0.015152,            0.000694,            0.000694,            0.000694
                  96,            0.018095,            0.012378,            0.027146,              0.2729,             0.76995,              0.5154,              0.3912,           0.0067709,           0.0033867,            0.015162,            0.000595,            0.000595,            0.000595
                  97,            0.014069,            0.012306,            0.027655,             0.38633,             0.75301,             0.55814,             0.42585,           0.0067612,           0.0033988,            0.015117,            0.000496,            0.000496,            0.000496
                  98,            0.013871,            0.013352,            0.027383,             0.39664,             0.75972,             0.55088,             0.43391,           0.0066879,           0.0034324,            0.015186,            0.000397,            0.000397,            0.000397
                  99,            0.014657,            0.012376,            0.027579,             0.39564,             0.76206,             0.55736,             0.43391,           0.0066475,           0.0034633,            0.015214,            0.000298,            0.000298,            0.000298
